 Reading in ../all_reals.csv
 length of input table       183603 x          40
 length of work table       367206 x          22
 Reading in ../df08_plantList.csv
 length of input table          802 x          11
 Coverting inputs to radians
 Will now do search through the input table to find linkable sources
  KBO_ID   N_OBS    RATE   ANGLE   STDEV    NCOR   RRATE  RANGLE    RMAG
   35674    1596    2.90 -171.87    0.12       1    2.73    7.26   23.19
   35674     110    7.19   -0.61    0.50       2    2.73    7.26   23.19
   64217     124    4.05 -176.08    0.33       1    2.91   10.69   22.25
   64217      69   21.08  113.14    0.58       2    2.91   10.69   22.25
   35674      13    1.71 -173.31    0.56       1    2.73    7.26   23.19
   35674       6    0.64  -29.59    0.22       1    2.73    7.26   23.19
   21638      79   21.05  111.90    0.61       3    2.90    7.43   22.05
   21638     108   23.22  111.29    0.50       2    2.90    7.43   22.05
   64217      74    2.67 -160.62    0.09       1    2.91   10.69   22.25
   42913     553    3.23 -173.04    0.08       1    3.02    6.84   23.64
   42913     352    3.16 -170.71    0.09       1    3.02    6.84   23.64
   42913     144    3.14 -163.35    0.08       1    3.02    6.84   23.64
   41270     191    2.64 -114.90    0.90       1    2.94    9.39   23.63
   69931       9    2.39  -45.84    0.09       1    1.81    6.18   22.22
   69931      69    2.19  -63.72    0.10       1    1.81    6.18   22.22
   69931     259    9.86  -90.08    0.86       3    1.81    6.18   22.22
   69931     199    9.13  -50.02    0.92       3    1.81    6.18   22.22
   16674     151    2.34  -76.61    0.93       3    2.51    8.58   23.52
   69931     166    1.12  178.47    0.10       1    1.81    6.18   22.22
   69931     153   10.15  -90.77    0.40       3    1.81    6.18   22.22
   16674      70    2.76 -174.96    0.12       1    2.51    8.58   23.52
   69931      74    0.48 -154.06    0.07       1    1.81    6.18   22.22
   69931     126   12.63  -54.30    0.70       3    1.81    6.18   22.22
   42913     346    3.15 -171.45    0.10       1    3.02    6.84   23.64
   69931     123    2.25 -169.95    0.07       1    1.81    6.18   22.22
   42913      92    8.20  -51.77    0.61       4    3.02    6.84   23.64
   69931      49    1.93 -168.31    0.05       1    1.81    6.18   22.22
   42913      44    5.88  -28.12    0.20       2    3.02    6.84   23.64
   69931       8    9.15  -46.74    0.58       3    1.81    6.18   22.22
   69931     116    1.58  161.90    0.07       1    1.81    6.18   22.22
   42913     148    3.38 -163.65    0.12       1    3.02    6.84   23.64
   69931       4    0.93 -144.43    0.93       1    1.81    6.18   22.22
   69931       9    8.47  -15.76    0.14       3    1.81    6.18   22.22
   69931      83   11.20  171.79    0.37       1    1.81    6.18   22.22
   69931     262    2.21 -176.63    0.13       1    1.81    6.18   22.22
   69931     171    1.71 -178.94    0.13       1    1.81    6.18   22.22
   66958     492    2.23 -172.18    0.36       1    2.02    5.97   24.90
   66958     128    1.77 -112.48    0.78       1    2.02    5.97   24.90
   66958       8    9.39  -31.26    0.66       2    2.02    5.97   24.90
   66958       4    3.49  -57.01    0.91       1    2.02    5.97   24.90
   66958      25   12.31  -83.31    0.96       3    2.02    5.97   24.90
   66958       7    3.77  159.27    0.91       1    2.02    5.97   24.90
   66958       9    3.08  -76.50    0.65       1    2.02    5.97   24.90
   66958       9    1.53 -164.83    0.94       1    2.02    5.97   24.90
   57393      28    3.28  176.23    0.84       1    2.91    9.19   26.27
   57393      16    2.04 -154.54    0.88       1    2.91    9.19   26.27
   57393       8    2.98 -136.87    0.98       1    2.91    9.19   26.27
   57393      13    2.40 -134.49    0.70       1    2.91    9.19   26.27
   57393       6    7.11  141.29    0.64       1    2.91    9.19   26.27
   57393      18    3.87 -123.40    0.74       1    2.91    9.19   26.27
   57393       8    1.99 -118.97    0.47       1    2.91    9.19   26.27
   57393      10    7.13  -81.18    0.90       1    2.91    9.19   26.27
   57393      17    3.31  158.04    0.34       1    2.91    9.19   26.27
   57393      28    7.15  -59.54    0.93       1    2.91    9.19   26.27
   57393       5    6.81  -73.34    0.87       1    2.91    9.19   26.27
   57393      26    4.13  -83.36    0.85       1    2.91    9.19   26.27
   57393       7    2.94   15.93    0.63       1    2.91    9.19   26.27
   57393      10    4.85  -80.80    0.95       1    2.91    9.19   26.27
   57393       6    5.13  -88.62    0.58       1    2.91    9.19   26.27
   57393      13   10.22  -29.59    0.93       1    2.91    9.19   26.27
   57393       5    4.36  -74.40    0.58       1    2.91    9.19   26.27
   33986     215    5.29 -109.63    0.80       1    2.66    7.13   23.15
   33986     101    2.56 -159.50    0.61       1    2.66    7.13   23.15
   57393      16    5.23  -17.99    0.72       2    2.91    9.19   26.27
   46717      12    1.95 -172.82    0.99       2    3.18    1.62   25.16
   57393       6    5.24 -178.37    0.72       2    2.91    9.19   26.27
   46717       6    9.80 -100.04    0.64       2    3.18    1.62   25.16
